着順,枠,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,後3F,コーナー通過順,厩舎,馬体重（増減）
1,2,2,クリアミッション,牡3,56,大庭,01:20.4,,5,9.4,37,12月9日,美浦土田,506(+2)
2,1,1,エストラード,牡3,56,江田照,01:20.4,アタマ,4,8.3,37.3,8月7日,美浦武市,478(+2)
3,5,9,マッチャパフェ,牝3,54,武藤,01:20.4,アタマ,6,10.5,38.2,1月1日,美浦林,446(-4)
4,3,4,コルニリア,牡3,56,嘉藤,01:20.6,3月4日,9,19.3,38.1,3月3日,美浦大和田,440(+2)
5,7,12,ローズオブシャロン,牝3,54,石橋脩,01:20.6,クビ,3,7.3,38.2,2月2日,美浦大竹,458(0)
6,3,5,バーンパッション,牡3,56,大野,01:20.7,クビ,10,20.2,37.1,12月11日,美浦中川,468(+2)
7,6,10,ユタカサン,牡3,56,吉田豊,01:20.7,アタマ,8,17.4,37.9,3月5日,美浦竹内,486(+8)
8,4,7,サイモンバトラー,牡3,56,田辺,01:20.7,ハナ,7,15,37.4,9月9日,美浦矢野,462(+12)
9,4,6,コパノラクラク,牝3,54,宮崎,01:20.8,1月2日,12,97.2,38,6月5日,美浦和田勇,442(+4)
10,8,14,コーラルティアラ,牝3,54,横山典,01:20.8,アタマ,1,3.4,37.3,9月11日,美浦和田勇,460(-2)
11,2,3,ストームファルコン,牡3,56,Ｍデム,01:20.9,3月4日,2,4.4,37.1,14-14,美浦水野,472(+2)
12,8,15,マサノゴールデン,牝3,54,北村宏,01:21.4,3,11,31.4,38.9,3月3日,美浦木村,476(-18)
13,5,8,マインレッド,牝3,54,菅原隆,01:23.1,大,15,451.2,40,6月7日,美浦小野,436(+8)
14,6,11,アイアンカレン,牝3,54,丹内,01:23.7,3.1/2,13,271.9,40.1,9月11日,美浦青木,408(+2)
15,7,13,サンテンプル,牝3,53,☆野中,01:26.2,大,14,389.3,40,15-15,美浦伊藤伸,418(-6)
1,8,16,エヴァジョーネ,牝3,54,武豊,01:27.2,,3,8,37.7,2月2日,栗東安田翔,428(0)
2,3,6,ラブアドベンチャー,牝3,54,横山典,01:27.3,1月2日,4,12.9,38,1月1日,美浦尾関,468(0)
3,1,1,ヴィエントアスール,牡3,56,ルメー,01:27.3,クビ,2,4.2,37.7,5月5日,栗東鈴木孝,470(0)
4,6,11,ムーンダイアローグ,牡3,56,ミナリ,01:27.6,2,6,20.4,37.2,9月8日,美浦矢野,436(0)
5,5,9,キアナポラリス,牝3,54,柴田善,01:28.2,3.1/2,8,67.1,37.6,11月11日,美浦国枝,432(0)
6,5,10,ジャックオレンジ,牡3,55,☆野中,01:28.2,アタマ,7,37.6,38.2,7月7日,美浦武井,482(0)
7,4,7,ワンチーム,牡3,54,△木幡育,01:28.4,1.1/4,9,78.7,39,2月2日,美浦清水英,458(0)
8,7,13,マテンロウヴァモス,牡3,56,マーフ,01:28.6,1.1/2,1,1.6,39.1,2月2日,栗東藤原英,512(0)
9,2,3,エメラルディ,牝3,54,横山和,01:29.7,7,5,16.2,40,5月5日,美浦勢司,484(0)
10,6,12,ウインオーサム,牡3,56,松岡,01:29.7,クビ,11,105.2,39.3,9月8日,美浦中舘,462(0)
11,8,15,ジニービーチ,牝3,54,丹内,01:29.7,ハナ,13,153.6,39.3,8月8日,美浦上原,480(0)
12,2,4,ベルダリーター,牝3,54,嘉藤,01:30.4,4,10,79.8,38.3,15-15,美浦水野,466(0)
13,4,8,サンディロン,牝3,54,田中勝,01:30.5,クビ,14,163.9,38.7,14-13,美浦宗像,426(0)
14,7,14,ツウカイヴィータ,牝3,54,石川,01:30.8,1.3/4,12,108.7,39.1,11月13日,美浦高橋裕,454(0)
15,3,5,マリノエヴァ,牝3,54,菅原隆,01:31.5,4,16,325.1,40.5,11月12日,美浦的場,426(0)
16,1,2,エクセルチェイサー,牡3,56,村田,01:34.7,大,15,274.9,41.1,16-16,美浦天間,486(0)
1,6,12,シゲルミカヅキ,牡3,56,ルメー,01:39.5,,1,3.1,38.2,4月4日,美浦伊藤圭,452(+4)
2,4,8,ハイエストエンド,牡3,56,田辺,01:39.6,1月2日,3,6.4,38.5,2月2日,美浦小西,500(-6)
3,8,16,クロッチ,セ3,56,丹内,01:39.6,クビ,13,90.1,38.4,4月4日,美浦杉浦,458(-12)
4,2,4,ハットルヴァン,牡3,56,大野,01:39.9,1.3/4,5,8.4,38.2,8月9日,美浦菊沢,496(-6)
5,7,14,リンガスウォリアー,牡3,56,石川,01:40.0,クビ,10,45,38.3,10月9日,美浦中舘,476(+10)
6,1,1,キンブレル,牡3,56,武豊,01:40.0,クビ,4,7,39,1月1日,美浦矢野,466(0)
7,4,7,ベルウッドヨウサン,セ3,56,北村宏,01:40.1,1月2日,12,69.9,39,2月2日,美浦中舘,476(-20)
8,5,10,ワンモアエフォート,牡3,56,横山和,01:40.2,3月4日,6,10.9,37.3,16-16,美浦勢司,490(+6)
